Betreiber;Art der Ladeeinrichung;Anzahl Ladepunkte;Steckertypen1;Steckertypen2;Steckertypen3;Steckertypen4;P1 [kW];P2 [kW];P3 [kW];P4 [kW];Nennleistung Ladeeinrichtung [kW];Kreis/kreisfreie Stadt;Ort;Postleitzahl;Straße;Hausnummer;Adresszusatz;Inbetriebnahmedatum;koordinaten;Anzeigename (Karte);Steckertypen5;P5 [kW];Public Key5;Steckertypen6;P6 [kW];Public Key6
Autohaus Werner GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;DC Fahrzeugkupplung Typ Combo 2 (CCS);;;11.0;22.0;;;33.0;Landkreis Trier-Saarburg;Saarburg;54439;Graf-Siegfried-Str.;124;;;49.598938, 6.538305;;;;;;;
Elektro Benzmüller;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;22.0;Landkreis Trier-Saarburg;Saarburg;54439;Rudolf-Diesel-Straße;3;;;49.605998, 6.573154;;;;;;;
Elektro Benzmüller;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;44.0;Landkreis Trier-Saarburg;Saarburg;54439;Rudolf-Diesel-Straße;3;;;49.606086, 6.572743;;;;;;;
Hotel Erasmus;Normalladeeinrichtung;2.0;AC Typ 2 Fahrzeugkupplung;AC Typ 2 Fahrzeugkupplung;;;22.0;22.0;;;22.0;Landkreis Trier-Saarburg;Trassem;54441;Kirchstr.;6a;;;49.576847, 6.525823;;;;;;;
Westenergie Metering GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Vulkaneifel;Daun;54550;Mainzer Straße;25;;;50.198628, 6.820564;Westenergie Metering GmbH;;;;;;
Westenergie Metering GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Vulkaneifel;Daun;54550;Abt-Richard-Straße;15;;;50.196799, 6.82781;Westenergie Metering GmbH;;;;;;
Hymes Energy GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;22.0;Landkreis Vulkaneifel;Daun;54550;Leopoldstraße;13;;;50.198588, 6.829393;;;;;;;
Hymes Energy GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Vulkaneifel;Daun;54550;Mainzer Str.;25;;;50.199006, 6.821203;;;;;;;
Löhr Automobile Daun;Normalladeeinrichtung;2.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);AC Typ 2 Steckdose;;;22.0;11.0;;;33.0;Landkreis Vulkaneifel;Daun;54550;Bitburger Str.;4;;;50.197498, 6.81614;;;;;;;
Autohaus Kainz GmbH & Co. KG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;11.0;11.0;;;22.0;Landkreis Vulkaneifel;Daun;54550;Hamsterweg;3;;;50.191861, 6.805265;;;;;;;
Hymes Energy GmbH;Normalladeeinrichtung;4.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;AC Typ 2 Steckdose;AC Typ 2 Steckdose;22.0;22.0;22.0;22.0;22.0;Landkreis Vulkaneifel;Daun;54552;Freiherr-vom-Stein-Straße;15;;;50.197785, 6.820702;;;;;;;
Frank Schmitz;Normalladeeinrichtung;1.0;AC Typ 2 Fahrzeugkupplung;;;;11.0;;;;11.0;Landkreis Vulkaneifel;Üdersdorf;54552;Auf der Held;3;;;50.137198, 6.825145;;;;;;;
Gerolsteiner Brunnen;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;11.0;11.0;;;11.0;Landkreis Vulkaneifel;Gerolstein;54567;Vulkanring;1;;;50.238358, 6.667061;;;;;;;
Gerolsteiner Brunnen;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;11.0;11.0;;;11.0;Landkreis Vulkaneifel;Gerolstein;54567;Vulkanring;1;;;50.23838, 6.667013;;;;;;;
EWE Go GmbH;Schnellladeeinrichtung;2.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);DC Fahrzeugkupplung Typ Combo 2 (CCS);;;160.0;160.0;;;160.0;Landkreis Vulkaneifel;Gerolstein;54568;Brunnenstraße;6;;;50.222596, 6.664206;EWE Go GmbH;;;;;;
Qwello Deutschland GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Typ 2 Fahrzeugkupplung";"AC Typ 2 Steckdose; AC Typ 2 Fahrzeugkupplung";;;22.0;22.0;;;34.0;Landkreis Vulkaneifel;Gerolstein;54568;Raderstraße;22;;;50.22158, 6.654929;;;;;;;
Qwello Deutschland GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Typ 2 Fahrzeugkupplung";"AC Typ 2 Steckdose; AC Typ 2 Fahrzeugkupplung";;;22.0;22.0;;;34.0;Landkreis Vulkaneifel;Gerolstein;54568;Hauptstraße;66;;;50.221817, 6.665956;;;;;;;
Seehotel am Stausee GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;11.0;11.0;;;11.0;Landkreis Vulkaneifel;Gerolstein;54568;Am Stausee;2;2;;50.23115, 6.64535;Seehotel am Stausee;;;;;;
Hymes Energy GmbH;Normalladeeinrichtung;4.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;AC Typ 2 Steckdose;AC Typ 2 Steckdose;22.0;22.0;22.0;22.0;22.0;Landkreis Vulkaneifel;Gerolstein;54568;Sarresdorfer Str.;44;;;50.223723, 6.648755;;;;;;;
E.ON Drive GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;11.0;;;33.0;Landkreis Vulkaneifel;Gerolstein;54568;Sarresdorfer Str.;4;;;50.224406, 6.658314;;;;;;;
Qwello Deutschland GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Typ 2 Fahrzeugkupplung";"AC Typ 2 Steckdose; AC Typ 2 Fahrzeugkupplung";;;22.0;22.0;;;34.0;Landkreis Vulkaneifel;Kalenborn-Scheuern;54570;Hauptstraße;23;;;50.25749, 6.600072;;;;;;;
Sascha Rehnelt;Normalladeeinrichtung;1.0;AC Typ 2 Fahrzeugkupplung;;;;13.0;;;;11.0;Landkreis Vulkaneifel;Oberstadtfeld;54570;Bitburger Straße;1;;;50.175744, 6.763733;;;;;;;
Pluq Assets BV;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;22.0;Landkreis Vulkaneifel;Kopp;54574;Birresbornerstr.;8;;;50.177723, 6.588674;Pluq;;;;;;
EnBW mobility+ AG und Co.KG;Schnellladeeinrichtung;2.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);DC Fahrzeugkupplung Typ Combo 2 (CCS);;;300.0;300.0;;;300.0;Landkreis Vulkaneifel;Hillesheim;54576;Kölner Str.;57;;;50.299866, 6.672165;;;;;;;
Uwe Klassen;Normalladeeinrichtung;1.0;AC Typ 2 Fahrzeugkupplung;;;;11.0;;;;11.0;Landkreis Vulkaneifel;Hillesheim;54576;Amselweg;2;;;50.291629, 6.671831;;;;;;;
Westenergie Metering GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Vulkaneifel;Wiesbaum;54578;Higis-Ring;6;;;50.348638, 6.674198;Westenergie Metering GmbH;;;;;;
Qwello Deutschland GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Typ 2 Fahrzeugkupplung";"AC Typ 2 Steckdose; AC Typ 2 Fahrzeugkupplung";;;22.0;22.0;;;34.0;Landkreis Vulkaneifel;Gerolstein;54579;Im Auel;1;;;50.312298, 6.755768;;;;;;;
Qwello Deutschland GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Typ 2 Fahrzeugkupplung";"AC Typ 2 Steckdose; AC Typ 2 Fahrzeugkupplung";;;22.0;22.0;;;34.0;Landkreis Vulkaneifel;Feusdorf;54584;Hauptstraße;9;;;50.349495, 6.613492;;;;;;;
Eifelville GmbH;Normalladeeinrichtung;4.0;AC Typ 2 Fahrzeugkupplung;AC Typ 2 Fahrzeugkupplung;AC Typ 2 Fahrzeugkupplung;AC Typ 2 Fahrzeugkupplung;22.0;22.0;22.0;22.0;22.0;Landkreis Vulkaneifel;Jünkerath;54584;Kölner Str.;37;;;50.345691, 6.575559;;;;;;;
Qwello Deutschland GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Typ 2 Fahrzeugkupplung";"AC Typ 2 Steckdose; AC Typ 2 Fahrzeugkupplung";;;22.0;22.0;;;34.0;Landkreis Vulkaneifel;Kerschenbach;54589;Stadtkyller Straße;2;;;50.34829, 6.501016;;;;;;;
Qwello Deutschland GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Typ 2 Fahrzeugkupplung";"AC Typ 2 Steckdose; AC Typ 2 Fahrzeugkupplung";;;22.0;22.0;;;34.0;Landkreis Vulkaneifel;Ormont;54597;Ulmenstraße;23;;;50.326412, 6.443069;;;;;;;
Qwello Deutschland GmbH;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Typ 2 Fahrzeugkupplung";"AC Typ 2 Steckdose; AC Typ 2 Fahrzeugkupplung";;;22.0;22.0;;;34.0;Landkreis Vulkaneifel;Scheid;54611;Losheimer Straße;6;;;50.36013, 6.418522;;;;;;;
Sascha Rehnelt;Normalladeeinrichtung;1.0;AC Typ 2 Fahrzeugkupplung;;;;13.0;;;;11.0;Landkreis Vulkaneifel;Gunderath;56767;Am Kurberg;12;;;50.256617, 6.976078;;;;;;;
EWE Go GmbH;Schnellladeeinrichtung;2.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);DC Fahrzeugkupplung Typ Combo 2 (CCS);;;160.0;160.0;;;160.0;Landkreis Westerwaldkreis;Simmern;55469;Sonnenhof;11;;;49.98088, 7.536577;EWE Go GmbH;;;;;;
EnBW mobility+ AG und Co.KG;Schnellladeeinrichtung;2.0;AC Typ 2 Fahrzeugkupplung;"DC Fahrzeugkupplung Typ Combo 2 (CCS); DC CHAdeMO";;;43.0;50.0;;;93.0;Landkreis Westerwaldkreis;Höhr-Grenzhausen;56203;Autobahnraststätte Grenzau Süd;0;BAB48;;50.439252, 7.647426;;;;;;;
Energieversorgung Mittelrhein AG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;11.0;11.0;;;11.0;Landkreis Westerwaldkreis;Höhr-Grenzhausen;56203;Brexbachstraße;11;;;50.451771, 7.661692;;;;;;;
Wattif Europe GmbH;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;22.0;;;;22.0;Landkreis Westerwaldkreis;Ransbach-Baumbach;56235;Rheinstr.;80-90;Marktplatz;;50.46438, 7.727;Wattif Europe GmbH;;;;;;
Lidl Dienstleistung GmbH & Co. KGe;Schnellladeeinrichtung;3.0;"AC Typ 2 Fahrzeugkupplung; DC Fahrzeugkupplung Typ Combo 2 (CCS)";"AC Typ 2 Steckdose; AC Typ 2 Fahrzeugkupplung";"AC Typ 2 Fahrzeugkupplung; DC Fahrzeugkupplung Typ Combo 2 (CCS)";;60.0;11.0;60.0;;75.0;Landkreis Westerwaldkreis;Ransbach-Baumbach;56235;Rheinstr.;105-107;LDE_6678_T65-IT1-0323-127;;50.461211, 7.724745;Lidl;;;;;;
Wolfram Lunzius;Normalladeeinrichtung;1.0;AC Typ 2 Fahrzeugkupplung;;;;11.0;;;;11.0;Landkreis Westerwaldkreis;Ransbach-Baumbach;56235;Mengertstr.;6a;;;50.464518, 7.728139;;;;;;;
Herbert von Grotthuss;Normalladeeinrichtung;2.0;AC Typ 2 Fahrzeugkupplung;AC Typ 2 Fahrzeugkupplung;;;11.0;11.0;;;11.0;Landkreis Westerwaldkreis;Nauort;56237;Heideweg;1;;;50.466752, 7.630216;;;;;;;
EnBW mobility+ AG und Co.KG;Schnellladeeinrichtung;2.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);"DC Fahrzeugkupplung Typ Combo 2 (CCS); DC CHAdeMO";;;300.0;300.0;;;300.0;Landkreis Westerwaldkreis;Sessenhausen;56244;Autobahn;0;BAB3;;50.522947, 7.67514;;;;;;;
EnBW mobility+ AG und Co.KG;Schnellladeeinrichtung;2.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);"DC Fahrzeugkupplung Typ Combo 2 (CCS); DC CHAdeMO";;;300.0;300.0;;;300.0;Landkreis Westerwaldkreis;Sessenhausen;56244;Autobahn;0;BAB3;;50.521482, 7.695594;;;;;;;
amperio GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Westerwaldkreis;Ötzingen;56244;Oberahrer Straße;9;;;50.51627, 7.851816;amperio GmbH (DEAMP);;;;;;
Mer Germany GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;22.0;Landkreis Westerwaldkreis;Hartenfels;56244;Mühlenweg;1;1007;;50.56939, 7.785437;MER Germany;;;;;;
Mer Germany GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;22.0;Landkreis Westerwaldkreis;Hartenfels;56244;Mühlenweg;1;1008;;50.56939, 7.785437;MER Germany;;;;;;
AP Licht GmbH;Normalladeeinrichtung;1.0;AC Typ 2 Fahrzeugkupplung;;;;11.0;;;;11.0;Landkreis Westerwaldkreis;Weidenhahn;56244;Friedhofstraße;15;Ambulantes Pflegeteam Licht GmbH;;50.542699, 7.832318;;;;;;;
EnBW mobility+ AG und Co.KG;Schnellladeeinrichtung;3.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);DC Fahrzeugkupplung Typ Combo 2 (CCS);AC Typ 2 Steckdose;;150.0;150.0;22.0;;150.0;Landkreis Westerwaldkreis;Herschbach;56249;Rheinstraße;24;;;50.569133, 7.736197;;;;;;;
Autohaus Krah GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;DC Fahrzeugkupplung Typ Combo 2 (CCS);;;11.0;22.0;;;33.0;Landkreis Westerwaldkreis;Herschbach;56249;Rheinstraße;21;LadestationnebenderDialogannahme;;50.570744, 7.738327;;;;;;;
amperio GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Westerwaldkreis;Montabaur;56410;Bahnallee;0;;;50.444325, 7.825416;amperio GmbH (DEAMP);;;;;;
EDEKA Fuhrmann;Schnellladeeinrichtung;2.0;AC Typ 2 Steckdose;"DC Fahrzeugkupplung Typ Combo 2 (CCS); DC CHAdeMO";;;22.0;50.0;;;94.0;Landkreis Westerwaldkreis;Montabaur;56410;Stauffenbergallee;1;;;50.427963, 7.820111;;;;;;;
Autohaus Weissenfels GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;11.0;11.0;;;22.0;Landkreis Westerwaldkreis;Montabaur;56410;Alleestr.;15-17;;;50.439184, 7.830995;;;;;;;
EnBW mobility+ AG und Co.KG;Schnellladeeinrichtung;2.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);"DC Fahrzeugkupplung Typ Combo 2 (CCS); DC CHAdeMO";;;300.0;300.0;;;300.0;Landkreis Westerwaldkreis;Heiligenroth;56412;Autobahn;0;BAB3;;50.45435, 7.872984;;;;;;;
LIS Görgeshausen GmbH & Co. KG;Schnellladeeinrichtung;1.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);;;;240.0;;;;240.0;Landkreis Westerwaldkreis;Görgeshausen;56412;Limburger Straße;0;;;50.41226, 7.9543;;;;;;;
Walter Fritz deutsche Gesellschaft für Energieversorgung mbH;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;22.0;;;;22.0;Landkreis Westerwaldkreis;Heiligenroth;56412;Industriestr.;3-5;;;50.450782, 7.849486;;;;;;;
EnBW mobility+ AG und Co.KG;Schnellladeeinrichtung;3.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);DC Fahrzeugkupplung Typ Combo 2 (CCS);AC Typ 2 Steckdose;;150.0;150.0;22.0;;150.0;Landkreis Westerwaldkreis;Wirges;56422;Samoborstr.;5;;;50.47264, 7.788874;;;;;;;
EnBW mobility+ AG und Co.KG;Schnellladeeinrichtung;2.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);DC Fahrzeugkupplung Typ Combo 2 (CCS);;;150.0;150.0;;;150.0;Landkreis Westerwaldkreis;Wirges;56422;Bahnhofstr.;28A;;;50.47247, 7.794138;;;;;;;
Uli Kaiser Elektrotechnik;Schnellladeeinrichtung;3.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);DC Fahrzeugkupplung Typ Combo 2 (CCS);AC Typ 2 Fahrzeugkupplung;;120.0;120.0;22.0;;120.0;Landkreis Westerwaldkreis;Wirges;56422;Bahnhofstraße;26;12;;50.472245, 7.796398;;;;;;;
EMMA Workspace - Jessica Hewicker;Normalladeeinrichtung;2.0;AC Typ 2 Fahrzeugkupplung;AC Typ 2 Fahrzeugkupplung;;;11.0;11.0;;;22.0;Landkreis Westerwaldkreis;Mogendorf;56424;Bahnhofstr.;3;;;50.49153, 7.76446;EMMA WORKSPACE;;;;;;
EnBW mobility+ AG und Co.KG;Schnellladeeinrichtung;2.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);DC Fahrzeugkupplung Typ Combo 2 (CCS);;;150.0;150.0;;;150.0;Landkreis Westerwaldkreis;Höhn;56462;Einkaufspark;3;;;50.61814, 7.9826;;;;;;;
EnBW mobility+ AG und Co.KG;Schnellladeeinrichtung;2.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);DC Fahrzeugkupplung Typ Combo 2 (CCS);;;150.0;150.0;;;150.0;Landkreis Westerwaldkreis;Bad Marienberg (Westerwald);56470;An der Lehmkaute;2;;;50.65799, 7.966548;;;;;;;
EnBW mobility+ AG und Co.KG;Schnellladeeinrichtung;3.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);DC Fahrzeugkupplung Typ Combo 2 (CCS);AC Typ 2 Steckdose;;150.0;150.0;22.0;;150.0;Landkreis Westerwaldkreis;Bad Marienberg (Westerwald);56470;An der Lehmkaute;2;;;50.65799, 7.966548;;;;;;;
nwe Ingenieurgesellschaft mbH & Co. KG;Normalladeeinrichtung;4.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;AC Typ 2 Steckdose;AC Typ 2 Steckdose;11.0;11.0;11.0;11.0;11.0;Landkreis Westerwaldkreis;Rennerod;56477;Bahnhofstraße;60;;;50.618622, 8.071556;nwe;;;;;;
projektLIS;Schnellladeeinrichtung;2.0;AC Typ 2 Steckdose;DC Fahrzeugkupplung Typ Combo 2 (CCS);;;22.0;24.0;;;24.0;Landkreis Westerwaldkreis;Rennerod/Emmerichenhain;56477;Siegenerstrasse;41;;;50.63198, 8.06713;;;;;;;
GFW Energy e.K.;Schnellladeeinrichtung;2.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);AC Typ 2 Steckdose;;;50.0;22.0;;;72.0;Landkreis Westerwaldkreis;Rennerod;56477;Am Wolfsgestell;9;;;50.622958, 8.071364;;;;;;;
GFW Energy e.K.;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Westerwaldkreis;Rennerod;56477;Am Wolfsgestell;9;;;50.622843, 8.071117;;;;;;;
Mann Naturenergie GmbH & Co. KG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;11.0;11.0;;;11.0;Landkreis Westerwaldkreis;Hellenhahn-Schellenberg;56479;Koblenzer Straße;0;Turnhalle / Sportplatz;;50.609999, 8.029232;Mann Naturenergie;;;;;;
Mann Naturenergie GmbH & Co. KG;Normalladeeinrichtung;4.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;AC Typ 2 Steckdose;AC Typ 2 Steckdose;22.0;22.0;22.0;22.0;22.0;Landkreis Westerwaldkreis;Hachenburg;57627;Johann-August-Ring;26;Parkplatz;;50.66053, 7.82659;Mann Naturenergie;;;;;;
Karl Bergisch GmbH & Co.KG;Normalladeeinrichtung;2.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);AC Typ 2 Steckdose;;;22.0;11.0;;;33.0;Landkreis Westerwaldkreis;Hachenburg;57627;Koblenzer Str.;28;;;50.660983, 7.814191;;;;;;;
Autohaus Karl Asbach GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;22.0;Landkreis Westerwaldkreis;Hachenburg;57627;Graf-Heinrich-Str.;16;;;50.66367, 7.819012;;;;;;;
Robert Schmidt Hoch- Tief- Straßenbau GmbH;Normalladeeinrichtung;4.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;AC Typ 2 Steckdose;AC Typ 2 Steckdose;22.0;22.0;22.0;22.0;22.0;Landkreis Westerwaldkreis;Müschenbach;57629;Hauptstr.;19;Vor dem Bürogebäude;;50.67881, 7.78141;Robert Schmidt GmbH;;;;;;
ALDI SÜD Immobilienverwaltungs-GmbH & Co. oHG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Westerwaldkreis;Alsbach;64665;Neue Bergstraße;9;;;49.744243, 8.608247;ALDI SÜD;;;;;;
EnBW mobility+ AG und Co.KG;Schnellladeeinrichtung;3.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);DC Fahrzeugkupplung Typ Combo 2 (CCS);AC Typ 2 Steckdose;;150.0;150.0;22.0;;150.0;Landkreis Merzig-Wadern;Merzig;66663;Brauerstraße;8;;;49.442066, 6.637411;;;;;;;
ALDI SÜD Immobilienverwaltungs-GmbH & Co. oHG;Schnellladeeinrichtung;3.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);DC Fahrzeugkupplung Typ Combo 2 (CCS);AC Typ 2 Steckdose;;150.0;150.0;22.0;;150.0;Landkreis Merzig-Wadern;Merzig;66663;Rieffstraße;9;;;49.26127, 6.37556;ALDI SÜD;;;;;;
Pfalzwerke AG;Schnellladeeinrichtung;2.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);DC Fahrzeugkupplung Typ Combo 2 (CCS);;;150.0;300.0;;;150.0;Landkreis Merzig-Wadern;Merzig;66663;Zum Wiesenhof;80;;;49.458, 6.624;Pfalzwerke AG;;;;;;
Pfalzwerke AG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;22.0;Landkreis Merzig-Wadern;Merzig;66663;Zum Wiesenhof;80;;;49.458, 6.624;Pfalzwerke AG;;;;;;
Jan Eckhoff;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Merzig-Wadern;Merzig;66663;Hausbacher Str.;76;;;49.471899, 6.676089;;;;;;;
Stadtwerke Merzig GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Merzig-Wadern;Merzig;66663;Am Gaswerk;5;;;49.441078, 6.639013;;;;;;;
Stadtwerke Merzig GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Merzig-Wadern;Merzig;66663;Bahnhofstr.;57;;;49.437234, 6.635156;;;;;;;
Stadtwerke Merzig GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Merzig-Wadern;Merzig;66663;Saarwiesenring;3;;;49.441629, 6.626519;;;;;;;
Stadtwerke Merzig GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Merzig-Wadern;Merzig;66663;Schillerstraße;23a;;;49.443116, 6.650254;;;;;;;
Stadtwerke Merzig GmbH;Schnellladeeinrichtung;2.0;AC Typ 2 Steckdose;DC Fahrzeugkupplung Typ Combo 2 (CCS);;;22.0;50.0;;;72.0;Landkreis Merzig-Wadern;Merzig;66663;Zur Stadthalle;4;CITO500;;49.441134, 6.633525;;;;;;;
Lidl Dienstleistung GmbH & Co. KGe;Schnellladeeinrichtung;3.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);AC Typ 2 Steckdose;DC Fahrzeugkupplung Typ Combo 2 (CCS);;60.0;11.0;60.0;;71.0;Landkreis Merzig-Wadern;Merzig;66663;Rieffstr.;7;a;;49.437581, 6.632407;Lidl;;;;;;
Immobiliengesellschaft im Holzhau GmbH & Co. KG;Normalladeeinrichtung;4.0;AC Typ 2 Fahrzeugkupplung;AC Typ 2 Fahrzeugkupplung;AC Typ 2 Fahrzeugkupplung;AC Typ 2 Fahrzeugkupplung;11.0;11.0;11.0;11.0;11.0;Landkreis Merzig-Wadern;Merzig;66663;Zum Wiesenhof;84;;;49.46254, 6.619411;;;;;;;
Reitsportanlage Ballern;Normalladeeinrichtung;1.0;AC Typ 2 Fahrzeugkupplung;;;;22.0;;;;22.0;Landkreis Merzig-Wadern;Merzig;66663;Reitweg;6;;;49.448992, 6.612609;;;;;;;
Lidl Dienstleistung GmbH & Co. KGe;Schnellladeeinrichtung;3.0;"AC Typ 2 Steckdose; AC Typ 2 Fahrzeugkupplung";"DC Fahrzeugkupplung Typ Combo 2 (CCS); DC CHAdeMO";"DC CHAdeMO; DC Fahrzeugkupplung Typ Combo 2 (CCS)";;20.0;50.0;50.0;;72.0;Landkreis Merzig-Wadern;Losheim am See;66679;Haagstr.;14a;LDE_6647_T65-IT1-0622-029;;49.506949, 6.750603;Lidl;;;;;;
Pfalzwerke AG;Schnellladeeinrichtung;2.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);DC Fahrzeugkupplung Typ Combo 2 (CCS);;;150.0;150.0;;;150.0;Landkreis Merzig-Wadern;LOSHEIM AM SEE;66679;Saarbrücker Straße;0;;;49.504527, 6.76041;Pfalzwerke AG;;;;;;
Pfalzwerke AG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;22.0;Landkreis Merzig-Wadern;LOSHEIM AM SEE;66679;Saarbrücker Straße;0;;;49.504527, 6.76041;Pfalzwerke AG;;;;;;
Technische Werke der Gemeinde Losheim GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Merzig-Wadern;Losheim am See;66679;Streifstraße;1 - 3;;;49.506186, 6.745367;;;;;;;
EnBW mobility+ AG und Co.KG;Schnellladeeinrichtung;2.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);DC Fahrzeugkupplung Typ Combo 2 (CCS);;;150.0;150.0;;;150.0;Landkreis Merzig-Wadern;Wadern;66687;Poststraße;36;;;49.53676, 6.892163;;;;;;;
EnBW mobility+ AG und Co.KG;Schnellladeeinrichtung;2.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);DC Fahrzeugkupplung Typ Combo 2 (CCS);;;300.0;300.0;;;300.0;Landkreis Merzig-Wadern;Wadern;66687;Poststraße;36;;;49.53676, 6.892163;;;;;;;
